ra,dec,name,type,peak
350.931755,14.579561,J232343.62_143446.4,Gauss,1438.54
248.933993,29.143151,J163544.16_290835.3,Gauss,1351.99
158.05649,31.964441,J103213.56_315751.8,Gauss,824.12
221.565587,10.232789,J144615.75_101357.95,Gauss,1027.25
137.911475,42.637462,J091138.75_423814.8,Gauss,1026.61
162.036282,34.761935,J104808.71_344542.91,Gauss,1331.35
148.333925,5.661574,J095320.14_053941.66,Gauss,1061.96
140.44902,9.204893,J092147.76_091217.5,Gauss,850.84
141.663913,38.615803,J092639.34_383656.80,Gauss,1818.43
37.844372,12.455139,J023122.65_122718.48,Gauss,257.56
219.800633,37.085563,J143912.15_370508.0,Gauss,315.54
2.769785,6.280313,J001104.75_061649.08,Gauss,1437.82
184.330023,27.640884,J121719.20_273827.0,Gauss,1662.13
17.645322,41.922814,J011034.87_415522.1,Gauss,1061.63
158.495631,5.31948,J103358.95_051910.0,Gauss,547.78
185.731096,41.547052,122255.47_413249.3,Gauss,79.41
159.543739,24.206069,103810.49_241221.8,Gauss,103.76
174.546251,57.655074,113811.10_573918.2,Gauss,1287.39
207.841493,17.801625,J135121.96_174805.8,Gauss,1511.38
183.475107,28.987783,J121354.03_285915.95,Gauss,1038.5
179.552063,26.129589,J115812.50_260746.51,Gauss,901.16
153.480981,-2.275736,J101355.43-021632.7,Gauss,281.36
228.589948,30.732497,J151421.58_304356.94,Gauss,1269.34
171.553187,28.734174,J112612.76_284403.0,Gauss,845.72
148.915082,4.816724,J095539.61_044900.15,Gauss,1573.69
186.082367,48.184542,122419.77_481104.3,Gauss,1427.91
147.835347,11.546313,J095120.48_113246.7,Gauss,1724.14
178.704248,25.413239,J115449.02_252447.56,Gauss,1071.82
121.844337,55.075417,J080722.64_550431.5,Gauss,792.12
11.606331,43.47499,J004625.51_432829.9,Gauss,53.09
208.109802,28.359758,J135226.35_282135.0,Gauss,735.67
149.223729,7.153986,J095653.69_070914.28,Gauss,960.96
129.764367,24.138224,J083903.45_240817.57,Gauss,793.63
183.574325,5.792875,J121417.83_054734.21,Gauss,1119.23
160.685846,12.058709,J104244.60_120331.2,Gauss,798.89
161.089535,36.914426,J104421.49_365451.83,Gauss,144.65
209.576098,41.259492,J135818.27_411534.15,Gauss,133.33
166.002973,45.74315,J110400.72_454435.2,Gauss,93.75
